Sentiment,Oseti,VADER,bert-finetuned-japanese-sentiment,japanese-sentiment-analysis,finance-sentiment-ja-base
-1,-1.0,-1,-1,1,0
0,1.0,1,1,1,0
-1,1.0,0,0,1,0
-1,-1.0,1,1,1,0
0,1.0,0,-1,1,0
-1,0.0,0,-1,1,0
0,0.0,0,0,-1,0
0,-1.0,-1,1,-1,0
0,-1.0,1,1,1,0
-1,-1.0,-1,0,-1,0
-1,-0.3333333333333333,1,0,1,0
-1,0.0,1,1,1,0
0,0.0,0,1,1,0
1,0.0,1,1,1,0
0,0.0,0,0,-1,0
-1,0.0,1,0,-1,0
0,-1.0,1,0,1,0
-1,0.0,1,1,1,0
0,-1.0,0,0,1,0
0,0.0,0,0,1,0
-1,-1.0,-1,0,-1,0
-1,0.0,-1,-1,-1,0
0,0.0,0,1,-1,0
0,0.0,0,-1,1,0
-1,-1.0,-1,1,1,0
0,0.0,-1,0,-1,0
1,-1.0,1,1,1,1
0,0.0,-1,0,1,0
-1,-1.0,1,-1,-1,0
-1,0.3333333333333333,-1,1,1,0
0,0.0,0,-1,1,0
0,0.0,-1,0,1,0
-1,-0.5,-1,-1,-1,0
-1,-1.0,-1,1,1,0
-1,-1.0,0,-1,1,-1
0,0.0,0,0,-1,0
1,-1.0,1,0,-1,0
0,1.0,1,0,1,0
0,0.0,0,1,-1,0
-1,-0.5,-1,-1,1,0
-1,-1.0,0,-1,-1,0
-1,1.0,-1,1,1,0
-1,0.0,1,1,-1,0
0,0.0,0,1,1,0
-1,-1.0,-1,0,1,0
0,0.0,-1,0,-1,0
0,0.0,0,-1,1,0
-1,-1.0,0,-1,1,0
1,0.0,1,1,1,0
-1,0.0,0,1,1,0
0,0.0,-1,1,1,0
0,1.0,0,0,-1,0
-1,1.0,0,1,1,0
-1,0.3333333333333333,1,1,1,0
0,0.0,0,1,1,0
1,0.0,1,1,1,0
0,0.0,0,1,-1,0
0,0.0,-1,0,-1,0
0,0.0,0,0,-1,0
-1,0.0,-1,1,1,0
-1,-1.0,0,1,1,0
-1,0.0,-1,-1,1,-1
0,0.0,1,1,1,0
0,0.0,-1,1,-1,0
0,0.0,0,1,-1,0
-1,-1.0,-1,0,-1,0
0,0.0,0,0,1,0
0,0.0,1,1,1,0
0,0.0,0,1,-1,0
1,0.0,1,1,1,0
0,0.0,0,1,-1,0
1,1.0,1,1,1,0
-1,1.0,-1,-1,-1,0
1,0.0,1,0,-1,0
0,0.0,0,1,1,0
0,0.0,1,1,1,0
1,0.0,1,-1,-1,0
0,0.0,-1,1,-1,0
0,0.0,0,1,1,0
1,0.0,1,1,1,0
0,1.0,1,1,1,0
-1,0.0,-1,1,1,0
1,0.0,1,1,1,0
0,0.0,-1,0,1,0
-1,0.0,0,1,-1,0
0,0.0,0,-1,1,0
0,0.0,0,1,1,0
0,0.0,-1,-1,-1,0
0,0.0,1,0,1,0
0,1.0,0,1,1,0
0,0.0,0,1,1,0
-1,-1.0,-1,0,-1,0
0,-1.0,-1,0,1,0
0,0.0,-1,0,-1,0
-1,1.0,-1,1,1,0
0,0.0,-1,1,1,0
0,1.0,0,1,1,0
-1,0.25,0,-1,-1,0
0,0.0,-1,1,1,0
1,1.0,-1,-1,1,0
