,Author (English),Author (Japanese),Gender,Title,Text Length (in characters),Overall Sentiment,Overall Sentiment Normalized,Direct Speech Sentiment,Direct Speech Sentiment Normalized,Author's Speech Sentiment,Author's Speech Sentiment Normalized
0,Abe Kazue,安部 和枝,M,小さき十字架を負いて,38540,-0.06834344849050732,-0.0028529244112454346,-0.05627118644067797,-0.005059562038748275,-0.06700607902735563,-0.003085415529262659
1,Ariyoshi Sawako,有吉 佐和子,F,祈禱,29372,0.005321507760532151,0.00027745356611174953,0.06503014642549526,0.0061562332528642535,-0.03926056338028169,-0.002386711913369122
2,Fujimoto Hitoshi,藤本 仁,M,倉橋島,24160,-0.09501103752759382,-0.005630602962111542,-0.07133592736705577,-0.008106122772241509,-0.1142454954954955,-0.007503981209178893
3,Fumizawa Ryuichi,文沢隆一,M,重い車,29839,-0.10796480666821023,-0.007082630708987282,-0.14285714285714285,-0.06388765649999398,-0.10637840420449116,-0.007054875582130751
4,Hara Tamiki,原 民喜,M,二つの死,7861,-0.0463768115942029,-0.0056631064077374465,0.03968253968253968,0.0093245291665233,-0.07299813780260708,-0.009850831214152428
5,Hara Tamiki,原 民喜,M,原爆以後,120019,-0.09512648420627454,-0.0024366730973798233,0.035322359396433474,0.002776167431833218,-0.10837275862726042,-0.002879968068617599
6,Hara Tamiki,原 民喜,M,原爆被災時のノート,2663,-0.6739469092721835,-0.4778856515605423,0.0,,-0.6739469092721835,-0.4778856515605423
7,Hara Tamiki,原 民喜,M,夏の花,56396,-0.12088836846213895,-0.004574197751994052,-0.04136690647482014,-0.004392429863106481,-0.1245635199892765,-0.004889720381414907
8,Hara Tamiki,原 民喜,M,心願の国,5179,0.007113821138211382,0.0008829270772086659,0.3333333333333333,0.16666666666666666,0.011458333333333333,0.0014344724274002977
9,Hara Tamiki,原 民喜,M,星のわななき,4754,-0.035606060606060606,-0.004373205818139485,0.0,0.0,-0.046556473829201105,-0.006039282348647217
10,Hara Tamiki,原 民喜,M,魔のひととき,12975,-0.1327683615819209,-0.009681697561465467,-0.11865569272976681,-0.012200602317989702,-0.1327683615819209,-0.009681697561465467
11,Hashioka Takeshi,橋岡 武,M,八月二十三日の事,12592,-0.14083155650319829,-0.013057860376328587,0.0,0.0,-0.15613627564847077,-0.014940805426613486
12,Hayashi Kyoko,林 京子,F,ギヤマン ビードロ,109851,-0.01329183714924117,-0.00037506591897599925,-0.054455445544554455,-0.00641516129502425,-0.012255444813584348,-0.000351078280751707
13,Hayashi Kyoko,林 京子,F,二人の墓標,21748,-0.11461434370771313,-0.006387505221215143,-0.13908872901678657,-0.022240362497527706,-0.10377643504531722,-0.006094277326170158
14,Hayashi Kyoko,林 京子,F,同期会,15956,0.014856429463171035,0.0010979855614831455,0.14285714285714285,0.08247860988423225,0.016135084427767354,0.0011961215705933303
15,Hayashi Kyoko,林 京子,F,昭和二十年の夏,18323,-0.01545653123634775,-0.0010576818555564289,0.5,0.5,-0.01729139362166885,-0.0011860205520877953
16,Hayashi Kyoko,林 京子,F,曇り日の行進,17487,-0.012869565217391304,-0.0008057900259566333,0.15555555555555556,0.040164271738447284,-0.024187725631768953,-0.0015513737887434087
17,Hayashi Kyoko,林 京子,F,無きが如き,127922,0.015308579643649716,0.0003908177539259298,-0.14197769197769197,-0.023882280648933742,0.01666755873716554,0.0004255319643289074
18,Hayashi Kyoko,林 京子,F,祭りの場,36515,-0.09801985906919888,-0.003835070704428495,-0.16587864460204885,-0.02169051358434609,-0.09406930532734678,-0.003774328066044972
19,Hayashi Kyoko,林 京子,F,道,30887,-0.0826844262295082,-0.004101556028180368,0.007532956685499058,0.0009199158203540175,-0.09333333333333334,-0.004960750835075915
20,Hironaka Toshio,廣中 俊雄,M,炎の日,47317,-0.15560224089635855,-0.006136131342475263,-0.06442577030812324,-0.007984212121746485,-0.17813821052999337,-0.00734652507532697
21,Hosoda Tamiki,細田 民樹,M,被爆者たち,15195,-0.11922171018945213,-0.010428590738545133,-0.11365839749073282,-0.014940805823324606,-0.14898486526393503,-0.01614642514293076
22,Hotta Yoshie,堀田 善衛,M,審判 2,180654,0.04008851135521676,0.0009428066759564986,0.013104252301627364,0.0005599909748574435,0.047917318780422526,0.0012752329957781822
23,Hotta Yoshie,堀田 善衛,M,審判 3,114648,0.020126282953594855,0.0006236861351009637,0.01882291069038057,0.001182310169885232,0.017799769282820132,0.0006079404430878628
24,Hotta Yoshie,堀田 善衛,M,審判 4,98374,0.030370144143940337,0.0009833996854045567,-0.031114258734655335,-0.0021416837859019565,0.039128832812106835,0.0013290201826762777
25,Hotta Yoshie,堀田 善衛,M,審判 １,120000,0.021256939500893232,0.0006875185867336619,0.02390739468864469,0.0015486831248140475,0.02189346307966346,0.0007750228240701399
26,Iida Momo,いいだ　もも,M,アメリカの英雄1,79821,-0.010143327403954282,-0.00033348063537789807,-0.009166666666666667,-0.0003893544061662063,0.000945921004060539,4.4575002425546105e-05
27,Iida Momo,いいだ　もも,M,アメリカの英雄2,67452,-0.010771382893685053,-0.00039328909103697446,0.02622806256686038,0.001256641578891952,-0.05911723753829017,-0.003098493669002797
28,Iida Momo,いいだ　もも,M,アメリカの英雄3,89543,0.006762981913765991,0.0002148729994542712,0.028524280999528525,0.0011419446019732156,-0.023003533683145335,-0.0010537877476693013
29,Iida Momo,いいだ　もも,M,アメリカの英雄4,72249,0.017545582935110392,0.0006187448289895921,0.022751939884015356,0.0010641173662232115,0.019279248554091886,0.000954189837112714
30,Iida Momo,いいだ　もも,M,アメリカの英雄5,88745,0.06492883631843838,0.0019812490853994835,0.06948235507425539,0.002698465036737701,0.06585213032581454,0.002843861382056313
31,Iida Momo,いいだ　もも,M,アメリカの英雄6,76131,-0.012086625382589509,-0.000420423951142117,-0.0015886221377069962,-7.851291435729445e-05,0.0002272793709257796,1.0324273013512905e-05
32,Iida Momo,いいだ　もも,M,アメリカの英雄7,36373,0.002698956294846706,0.00013776538431018427,0.04188877043354655,0.0033365511951108586,-0.019464285714285715,-0.0012682267715168818
33,Ikuguchi Juro,生口 十朗,M,死者への勲章,32532,0.031070195627157654,0.0016468815655765463,-0.02037037037037037,-0.0022682960218803013,0.04673311184939092,0.002802440190700039
34,Inada Mihoko,稲田 美穂子,F,見知られぬ旅,10253,0.0013263023330137421,0.00011581154447290728,0.21428571428571427,0.17660643936260018,-0.006592160673793327,-0.0005769673863760565
35,Inoue Mitsuhara,井上 光晴,M,「七〇年夏」への告発,5324,-0.1934350439204808,-0.03236639422305088,-0.12574955908289243,-0.028225448489385085,-0.19188034188034186,-0.035626507794240786
36,Inoue Mitsuhara,井上 光晴,M,「前科三犯」の被爆者,632,-0.2,-0.07516460280028288,0.09090909090909091,0.034360406637202474,-0.4666666666666667,-0.20561572340611634
37,Inoue Mitsuhara,井上 光晴,M,プルトニウムの秋,10247,-0.0997920997920998,-0.008136787855189917,0.0,,-0.1,-0.008153739496554896
38,Inoue Mitsuhara,井上 光晴,M,原子力潜水艦をむかえる基地市民の 感覚,9743,-0.02463731012118109,-0.0026307921531126964,-0.004318936877076412,-0.0005288208267100316,-0.04489368074273735,-0.005391111475551973
